Country,Region,Code,Education,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessiblity to services,Housing,Community,Life satisfaction,Cluster
Australia,New South Wales,AU1,8.5076771281667,8.23461321287408,5.68333877284595,9.80978260869565,9.47032902467685,7.56218905472637,10.0098914930556,5.37556933715112,7.92134831460674,8.87387387387387,8.46153846153846,3
Australia,Victoria,AU2,8.5076771281667,8.42094861660079,4.60427545691906,9.7554347826087,9.94566136508951,8.30845771144279,10.0098920319585,5.5247313046369,9.60674157303371,8.87387387387387,8.84615384615385,3
Australia,Queensland,AU3,8.19263118855745,8.34632034632035,5.01713446475196,9.78260869565217,9.21269095182139,9.30348258706468,10.0098903749178,5.27898591301239,7.92134831460674,7.07207207207207,8.07692307692308,3
Australia,South Australia,AU4,7.57912067458154,8.09862601166949,5.30352480417755,9.91847826086957,9.09782608695652,9.60199004975124,10.009888950583,4.87223816250804,7.92134831460674,8.37837837837838,8.46153846153846,3
Australia,Western Australia,AU5,8.19263118855745,8.85347261434218,5.91016644908616,9.7554347826087,9.61957449382915,8.45771144278607,10.0098925539916,5.15845237999484,9.60674157303371,7.61261261261261,8.46153846153846,3
Australia,Tasmania,AU6,7.2309120044871,8.0660643704122,4.93819353785901,9.86413043478261,8.25705052878966,9.00497512437811,10.009894000424,4.77800027095582,9.60674157303371,9.41441441441442,8.84615384615385,3
Australia,Northern Territory,AU7,8.07656163185931,8.49331827592697,7.18994778067885,9.70108695652174,6.26703877790834,8.80597014925373,10.0098926462695,5.5324068715411,9.60674157303371,5.99099099099099,6.15384615384615,3
Australia,Australian Capital Territory,AU8,9.35332675553891,9.28298513081122,10.0099998147668,9.83695652173913,9.89131374632233,8.1592039800995,7.69907511842996,5.89173460833201,9.60674157303371,9.14414414414414,8.84615384615385,1
Austria,Burgenland,AT11,8.70665351107781,7.90852625635234,4.71238577023499,9.7554347826087,7.44712103407755,6.86567164179104,8.50214301827205,5.65269938848705,5.89887640449438,5.54054054054054,6.15384615384615,3
Austria,Lower Austria,AT12,8.73981624156299,8.26491624317712,4.76664490861619,9.89130434782609,7.05376028202115,6.96517412935324,8.2991202346041,5.59712102092416,5.67415730337079,7.92792792792792,8.84615384615385,3
Austria,Vienna,AT13,8.10972436234449,4.91774891774892,4.1644908616188,9.86413043478261,6.46944770857814,6.31840796019901,6.35912474622152,7.09259191393111,4.10112359550562,6.30630630630631,8.07692307692308,0
Austria,Carinthia,AT21,9.13776900738521,7.58620365142104,4.40172160574413,9.91847826086957,7.49324324324324,7.41293532338309,6.44935709451839,5.27371209753961,5.95505617977528,7.61261261261261,9.23076923076923,3
Austria,Styria,AT22,8.69007214583522,8.32175795219274,4.49065763707572,9.91847826086957,7.3572267920094,6.51741293532338,6.99075118429957,5.30639585098741,5.61797752808989,5.72072072072072,8.46153846153846,3
Austria,Upper Austria,AT31,8.5076771281667,9.03152644456992,4.58754895561358,9.94565217391304,7.58196239717979,7.16417910447761,7.64493570945184,5.43236761324904,5.67415730337079,8.24324324324324,8.84615384615385,3
Austria,Salzburg,AT32,8.87246716350373,8.63457556935818,4.62120593994778,9.83695652173913,8.17126909518214,7.76119402985075,7.35168057748703,5.4425720071573,4.7752808988764,7.65765765765766,8.84615384615385,3
Austria,Tyrol,AT33,8.49109576292411,8.35657820440429,4.45190110966057,9.91847826086957,8.55699177438308,7.86069651741293,6.31400857207309,5.5320318776415,4.8314606741573,8.37837837837838,9.23076923076923,3
Austria,Vorarlberg,AT34,7.99365480564635,8.92508940335027,4.7607294386423,9.94565217391304,8.63836662749706,7.81094527363184,5.36656891495601,5.90259992024132,5.1685393258427,5.99099099099099,8.84615384615385,3
Belgium,Brussels Capital Region,BE1,6.86612196915008,3.44485224920008,3.70736781984334,9.48369565217391,6.1427732079906,6.06965174129353,8.94428152492668,6.78564441263296,3.42696629213483,4.32432432432432,6.15384615384615,0
Belgium,Flemish Region,BE2,8.22579391904264,7.99265951439865,4.40988087467363,9.80978260869565,8.27908343125734,6.76616915422886,10.0098914930556,7.46803864580045,6.79775280898876,7.16216216216216,7.30769230769231,3
Belgium,Walloon Region,BE3,7.34698156118525,4.89290419725202,3.66901925587467,9.53804347826087,5.33049353701528,7.36318407960199,9.65937288517934,6.09168894664669,7.92134831460674,7.47747747747747,6.92307692307692,3
Canada,Newfoundland and Labrador,CA10,9.03828081592965,4.39431582909844,4.23078492167102,9.6195652173913,6.13205052878966,10.0000238095238,5.45680126325288,8.32803101566164,10.0065552876335,7.97297297297297,6.92307692307692,3
Canada,Prince Edward Island,CA11,9.3699081207815,6.88123470732166,3.92318048302872,10.01,7.77761457109283,10.000025,8.61493345364313,7.216380421237,10.006303142329,10.0099,10.0087179487179,3
Canada,Nova Scotia,CA12,9.53572177320742,6.86118953510258,4.03088283289817,9.40217391304348,6.71210340775558,10.0,7.71260997067449,8.21707056650336,10.0064651820431,8.6036036036036,8.07692307692308,3
