Country,Region,Code,Population with at least secondary education (%),Employment rate (%),Unemploy-ment rate (%),Household disposable income per capita (constant USD PPP (refer. year 2015)),Homicide rate (per 100-000 people),Mortality rate (per 1-000 people),Life expectancy (Number of years),Air pollution (level of PM2.5) (µg/m³),Voter turnout (%),Broadband access (% of households),Internet download speed 2021-Q4 (deviation from OECD average (%)),Number of rooms per person,Perceived social network support ,Self assessment of life satisfaction
Australia,New South Wales,AU1,85.8,73.9,5.2,31461.0,0.8,5.52,82.8,9.9,92.16,85.2,-42.4275262295123,2.3,94.7,7.2
Australia,Victoria,AU2,85.8,75.1,5.2,26171.0,1.0,5.44,83.6,8.4,92.62,86.8,-41.5547908274166,2.6,94.7,7.3
Australia,Queensland,AU3,83.9,75.4,5.6,28195.0,0.9,5.66,82.5,6.4,91.22,86.3,-47.2078553983282,2.3,90.7,7.1
Australia,South Australia,AU4,80.2,74.0,5.7,29599.0,0.4,5.83,82.5,5.8,90.05,82.5,-50.698772018412,2.3,93.6,7.2
Australia,Western Australia,AU5,83.9,77.3,4.9,32573.0,1.0,5.39,83.0,8.1,93.07,88.4,-54.6087005290475,2.6,91.9,7.2
Australia,Tasmania,AU6,78.1,73.4,5.5,27808.0,0.6,6.27,81.5,7.0,94.34,83.4,-55.0210453999301,2.6,95.9,7.3
Australia,Northern Territory,AU7,83.2,74.2,4.5,38847.0,1.2,6.4,78.0,7.4,93.15,89.0,-45.6889083516812,2.6,88.3,6.6
Australia,Australian Capital Territory,AU8,90.9,78.7,4.2,53986.0,0.7,5.32,83.5,8.7,77.94,94.1,-46.04466178897261,2.6,95.3,7.3
Austria,Burgenland,AT11,87.0,71.8,5.2,26701.0,1.0,7.71,81.8,11.3,81.5,91.0,-46.3855578622639,1.94,87.3,6.6
Austria,Lower Austria,AT12,87.2,73.9,5.1,26967.0,0.5,7.89,81.3,11.1,80.6,91.0,-47.887224129558994,1.9,92.6,7.3
Austria,Vienna,AT13,83.4,66.2,12.2,24015.0,0.6,7.87,80.2,12.4,72.0,93.0,-11.4280687938115,1.62,89.0,7.1
Austria,Carinthia,AT21,89.6,70.7,5.7,25178.0,0.4,7.32,81.4,10.2,72.4,90.0,-54.65196657417341,1.95,91.9,7.4
Austria,Styria,AT22,86.9,72.9,4.4,25614.0,0.4,7.28,81.1,12.0,74.8,90.0,-53.768887559921794,1.89,87.7,7.2
Austria,Upper Austria,AT31,85.8,76.3,3.8,26089.0,0.3,7.43,81.7,10.7,77.7,91.0,-52.338679715182,1.9,93.3,7.3
Austria,Salzburg,AT32,88.0,75.5,4.7,26254.0,0.7,6.96,82.2,9.5,76.4,92.0,-54.0363786358405,1.74,92.0,7.3
Austria,Tyrol,AT33,85.7,74.1,4.9,25424.0,0.4,6.55,82.4,9.3,71.8,89.0,-45.699040273761,1.75,93.6,7.4
Austria,Vorarlberg,AT34,82.7,76.2,4.1,26938.0,0.3,6.51,82.5,9.4,67.6,94.0,-45.5537519899336,1.81,88.3,7.3
Belgium,Brussels Capital Region,BE1,75.9,57.3,12.5,21774.0,2.0,7.71,79.4,12.9,83.46,93.0,-19.721452150355,1.5,84.6,6.6
Belgium,Flemish Region,BE2,84.1,70.0,4.0,25218.0,0.8,6.72,82.1,11.5,92.16,93.0,-1.28391168490805,2.1,90.9,6.9
Belgium,Walloon Region,BE3,78.8,59.6,8.9,21586.0,1.8,8.51,78.9,10.3,86.63,89.0,-30.5777227786527,2.3,91.6,6.8
Canada,Newfoundland and Labrador,CA10,89.0,64.0,12.8,24340.0,1.5,8.12,79.89,4.2,68.0,89.3,29.2537532860156,2.903,92.7,6.8
