Country,Code,Education,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessiblity to services,Housing,Community,Life satisfaction
Australia,AUS,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,0.0,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463
Austria,AUT,8.425925925925926,7.48134328358209,5.089838476935251,9.92063492063492,6.89047619047619,6.875,6.831017480950247,5.501888240064735,5.755395683453237,7.160493827160495,8.461538461538463
Belgium,BEL,7.611111111111111,6.282018959257765,4.624354140483173,9.642857142857142,6.65952380952381,6.71875,10.0,6.93747112601298,7.913669064748201,6.851851851851853,7.30769230769231
Canada,CAN,9.62962962962963,7.206030657523196,5.138248847926268,9.285714285714285,7.734199134199133,9.166666666666668,7.144778126400718,8.316103314587107,0.0,8.086419753086423,8.076923076923077
Chile,CHL,5.851851851851851,4.071702299314239,0.9840338872596938,8.80952380952381,7.917965367965369,0.0,0.3541012998655324,2.915936952714536,2.1582733812949644,5.185185185185183,4.615384615384617
Colombia,COL,3.4074074074074066,0.9290540540540544,0.906753712237583,0.0,4.302813852813854,5.208333333333334,3.424473330345137,1.2110129335016846,0.0,3.086419753086422,3.461538461538463
Costa Rica,CRI,0.0,0.7601351351351353,1.28217660475725,5.595238095238095,10.0,5.15625,4.61228148812192,4.16338881138451,0.143884892086331,5.123456790123458,6.923076923076923
Czech Republic,CZE,10.0,9.08783783783784,3.283759251501187,9.642857142857142,3.0987012987012994,5.15625,3.514119229045271,5.207948390603844,3.597122302158273,8.20987654320988,7.30769230769231
Denmark,DNK,7.7222222222222205,8.41543969342477,3.902155192477773,9.8015873015873,6.966017316017313,7.864583333333334,8.646346929627972,8.987298295621537,6.474820143884891,9.691358024691358,10.0
Estonia,EST,9.092592592592592,7.676986688180718,2.883908206488852,9.325396825396826,4.482251082251086,9.322916666666666,4.164051994621247,5.713048353543942,5.035971223021583,8.271604938271604,4.615384615384617
Finland,FIN,8.981481481481481,6.935004033884631,4.173067076292883,9.88095238095238,7.440476190476191,10.0,4.849843119677277,7.223188453998712,7.194244604316546,10.0,0.0
France,FRA,7.74074074074074,5.968636546994757,4.44118605408928,9.603174603174605,7.812987012987012,7.604166666666666,7.324069923800986,8.551005570062905,5.755395683453237,8.395061728395065,6.53846153846154
Germany,DEU,8.222222222222221,9.025816861637756,5.20620956104827,9.8015873015873,6.589610389610387,7.1875,7.055132227700582,6.379445159431034,5.755395683453237,5.802469135802468,8.076923076923077
Greece,GRC,7.296296296296295,1.6301936264622838,2.673509286412512,9.841269841269842,6.380303030303034,5.052083333333334,2.837292693859257,3.774080560420315,2.1582733812949644,1.172839506172835,2.6923076923076934
Hungary,HUN,8.499999999999998,8.42048204921339,2.71121351766513,9.841269841269842,0.4480519480519531,5.208333333333334,5.515463917525775,8.274560798973809,4.316546762589929,8.148148148148147,3.846153846153847
Iceland,ISL,,8.768656716417912,3.977098170646558,9.761904761904765,7.321212121212122,9.687500000000002,4.890183774092336,9.285947149725155,,0.0,9.615384615384617
Ireland,IRL,8.722222222222221,6.967527228721258,4.282455895359122,9.841269841269842,7.961255411255408,8.385416666666668,3.984760197220978,6.989648652045046,7.913669064748201,8.148148148148147,7.692307692307693
Israel,ISR,8.703703703703704,7.207039128680919,2.0832751477912765,9.523809523809524,8.2974025974026,2.864583333333334,5.230838189152846,6.86767906999545,1.438848920863309,7.962962962962963,8.461538461538463
Italy,ITA,4.12962962962963,3.77672448567971,3.9566168598426654,9.92063492063492,8.109523809523813,5.104166666666666,6.234872254594352,5.989191279104687,2.877697841726618,5.67901234567901,5.384615384615387
Japan,JPN,,9.52349737797499,4.450495740818321,9.841269841269842,4.321212121212122,5.885416666666666,2.431645002241148,6.337951411740411,6.402877697841726,5.432098765432101,3.846153846153847
Korea,KOR,9.851666666666668,7.306373537716823,3.970348647768003,9.642857142857142,9.266666666666666,0.0,4.724338861497088,4.567221438339481,4.316546762589929,0.0,3.461538461538463
Latvia,LVA,9.592592592592592,6.462031060911659,2.3486012195689616,8.84920634920635,0.2380952380952413,6.145833333333332,2.1201255042581804,6.27677879999248,1.438848920863309,6.66666666666667,4.23076923076923
Lithuania,LTU,10.0,7.199727712787415,3.516734161895452,9.126984126984128,0.2606060606060604,7.760416666666666,0.6006275212909009,6.203271965226767,4.316546762589929,5.0,5.384615384615387
Luxembourg,LUX,7.388888888888888,7.347720855183543,7.184517990969605,10.0,7.698917748917751,8.072916666666668,9.991035410129989,8.811924485413236,7.194244604316546,6.604938271604936,8.461538461538463
Mexico,MEX,0.2222222222222227,5.778287615974183,0.0,0.0,1.8816017316017388,4.739583333333333,,3.269756792128256,0.0,0.9259259259259266,5.0
Netherlands,NLD,7.444444444444443,4.440298507462686,4.278732020667505,9.761904761904765,6.774242424242429,6.927083333333332,8.175705961452262,8.504360587411874,7.913669064748201,8.641975308641982,9.230769230769234
New Zealand,NZL,7.5,8.801936264622832,3.951031047805241,9.761904761904765,5.546753246753249,9.21875,7.595248767368895,6.45355288227683,8.410071942446042,9.44444444444445,8.846153846153847
Norway,NOR,7.796296296296296,8.774455425574828,4.8221849834753066,9.92063492063492,8.415367965367967,9.479166666666666,7.167189601075751,8.826029259692415,9.352517985611508,9.567901234567907,9.230769230769234
Poland,POL,9.777777777777777,8.208703106091166,3.162035097518969,9.563492063492063,1.451515151515154,3.229166666666666,3.715822501120576,7.736556997999152,1.438848920863309,5.123456790123458,4.23076923076923
Portugal,PRT,3.5370370370370368,6.906262605889471,3.29237071172555,9.8015873015873,6.541125541125539,8.28125,0.7731958762886605,7.045146392541647,5.035971223021583,5.493827160493826,3.461538461538463
Slovak Republic,SVK,9.796296296296296,6.750705929810409,3.047991435088209,9.72222222222222,1.1309523809523836,4.53125,4.636934110264457,6.07069656112401,1.438848920863309,7.716049382716054,5.384615384615387
Slovenia,SVN,9.425925925925924,7.872125857200485,3.469022017409114,10.0,5.837445887445885,5.104166666666666,1.685342895562529,6.168916448376943,4.316546762589929,9.197530864197532,5.76923076923077
Spain,ESP,4.351851851851851,2.5965611133521587,3.802774286645256,9.88095238095238,7.957359307359312,7.5,5.5535634244733325,9.08129405064398,7.194244604316546,7.901234567901239,5.384615384615387
Sweden,SWE,8.722222222222221,6.906010488100042,4.377181957827119,9.682539682539682,8.633549783549785,9.635416666666668,9.408337068579112,7.92766386094695,5.755395683453237,8.20987654320988,9.230769230769234
Switzerland,CHE,8.703703703703704,9.02001815248084,10.0,9.92063492063492,8.695238095238093,7.8125,0.0,9.75845198299437,5.755395683453237,8.827160493827165,9.615384615384617
