Country,Region,Code,Education,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessiblity to services,Housing,Community,Life satisfaction
Australia,New South Wales,AU1,,~,-,~,+,-,~,,~,,
Australia,Victoria,AU2,,~,-,~,+,-,~,,+,,
Australia,Queensland,AU3,,-,-,~,+,-,~,,~,,
Australia,South Australia,AU4,,-,-,~,+,~,~,,~,,
Australia,Western Australia,AU5,,-,-,~,+,-,~,,+,,
Australia,Tasmania,AU6,,~,-,~,+,-,~,,+,,
Australia,Northern Territory,AU7,,-,~,+,+,-,+,,~,,
Australia,Australian Capital Territory,AU8,,-,~,~,~,-,-,,+,,
Austria,Burgenland,AT11,+,-,-,~,~,+,-,,-,,
Austria,Lower Austria,AT12,~,-,-,~,~,+,-,,-,,
Austria,Vienna,AT13,~,-,-,~,~,+,-,,-,,
Austria,Carinthia,AT21,~,-,-,~,~,+,-,,-,,
Austria,Styria,AT22,~,~,-,~,~,+,-,,-,,
Austria,Upper Austria,AT31,+,~,-,~,~,+,-,,-,,
Austria,Salzburg,AT32,~,-,-,~,~,+,-,,-,,
Austria,Tyrol,AT33,+,-,-,~,~,+,~,,-,,
Austria,Vorarlberg,AT34,+,~,-,~,~,+,-,,-,,
Belgium,Brussels Capital Region,BE1,+,+,-,~,-,+,~,,-,,
Belgium,Flemish Region,BE2,+,~,-,~,~,+,~,,~,,
Belgium,Walloon Region,BE3,+,+,-,~,-,+,~,,+,,
Canada,Newfoundland and Labrador,CA10,+,+,~,~,~,~,+,,~,,
Canada,Prince Edward Island,CA11,+,~,~,~,~,~,+,,~,,
Canada,Nova Scotia,CA12,+,~,~,~,~,~,+,,~,,
Canada,New Brunswick,CA13,+,-,~,~,-,~,+,,~,,
Canada,Quebec,CA24,+,+,+,~,~,~,+,,~,,
Canada,Ontario,CA35,+,-,~,~,~,~,+,,-,,
Canada,Manitoba,CA46,+,-,~,~,-,~,+,,-,,
Canada,Saskatchewan,CA47,+,-,~,-,-,+,+,,~,,
Canada,Alberta,CA48,+,-,-,~,-,~,+,,-,,
Canada,British Columbia,CA59,~,~,+,~,-,~,+,,-,,
Canada,Yukon,CA60,,,~,-,-,~,+,,-,,
Canada,Northwest Territories,CA61,,,~,~,-,~,+,,+,,
Canada,Nunavut,CA62,,,~,+,~,~,~,,-,,
Chile,Tarapacá,CL01,~,-,~,~,~,+,-,,-,,
Chile,Antofagasta,CL02,~,~,~,~,~,+,-,,~,,
Chile,Atacama,CL03,~,~,~,~,~,+,-,,-,,
Chile,Coquimbo,CL04,~,~,~,~,~,+,-,,~,,
Chile,Valparaíso,CL05,~,~,~,~,~,+,-,,-,,
Chile,O'Higgins,CL06,~,~,~,~,~,+,-,,+,,
Chile,Maule,CL07,~,-,-,~,~,+,-,,-,,
Chile,Biobío,CL08,+,-,+,-,+,-,-,,+,,
Chile,Araucanía,CL09,+,-,+,+,+,-,-,,-,,
Chile,Los Lagos,CL10,+,-,+,~,+,-,-,,-,,
Chile,Aysén,CL11,+,-,+,~,~,-,-,,~,,
Chile,Magallanes and Chilean Antarctica,CL12,+,-,+,~,+,-,-,,-,,
Chile,Santiago Metropolitan,CL13,+,-,+,~,+,-,-,,-,,
Chile,Los Ríos,CL14,+,-,+,~,+,-,-,,~,,
Chile,Arica y Parinacota,CL15,+,-,+,-,+,-,-,,-,,
Chile,Ñuble,CL16,+,-,+,~,+,-,-,,-,,
Colombia,Antioquia,CO05,+,-,+,~,+,-,-,,-,,
Colombia,Atlántico,CO08,+,~,+,+,+,-,-,,-,,
Colombia,Bogotá Capital District,CO11,+,+,+,+,+,-,-,,-,,
Colombia,Bolívar,CO13,+,-,+,~,+,-,-,,~,,
